board	degree	nordegree
marvel	2	1.86754176611
T-I-R	1	0.9861373661
STS	1	0.9861373661
Monotheism	1	0.9861373661
Marxism	1	0.9861373661
Learn_Buddha	1	0.9861373661
HumService	1	0.9861373661
Hakka-Dream	1	0.9861373661
China	1	0.9861373661
Atheism	1	0.9861373661
Ancient	1	0.9861373661
IGuanTao	1	0.984896161108
Taoism	1	0.98427672956
Feminism	1	0.98427672956
W-Philosophy	1	0.983658076681
Confucianism	1	0.983040201005
NewAge	1	0.979962429555
Buddha	1	0.978736710444
Christianity	1	0.977514053716
Aboriginal	1	0.975685785536
Folklore	1	0.97507788162
Buddhism	1	0.973864343497
Catholic	1	0.969640644362
CrossStrait	1	0.891230068337
ask	1	0.811301192328
HatePolitics	1	0.721198156682
Gossiping	1	0.240695170717
